Num_Matrices,Error1,Error3
2,0.0410814,0.99769
2,0.998521,3.55727e-321
2,-0.000129631,1.58101e-322
2,-0.435018,-0.00590909
2,-0.981429,1.24485e-13
2,4.86551e-07,0.00970873
2,-0.00280503,0.0334962
2,-0.0554482,0.0182535
2,-0.00280503,0.0334962
2,-2.30673e-14,2.74178e-13
2,-0.0554482,0.0182535
